"","X","sample_ID","upper_depth","lower_depth","SOC_stock_spline","site","geomorphons","HLI","Precip","Temp","WIP","tree_canopy_cover","NDVI_median","MNDWI_median","EVI_median","SCI_median","SAVI_median","EMBI_median","DSI_median","DSWI1_median","NDYI_median","LSWI_median","ANDWI_median","LITHOLOGY","GEOLOGIC_AGE"
"97",97,"H-CW-19R2-TNC",0,30,0.251941822081666,"HOH","c",0.509014248847961,2855.97485351562,10.1013221740723,0.0798433646559715,22.6875801086426,0.700699210166931,-0.584591209888458,0.459223002195358,0.618048787117004,0.44539412856102,0.242280632257462,0.743297219276428,1.42851221561432,0.300612956285477,0.160267561674118,-0.647284388542175,"alpine glacial outwash, pre-Fraser","Pleistocene"
"98",98,"H-CW-19R2-TNC",30,100,0.125534623471187,"HOH","c",0.509014248847961,2855.97485351562,10.1013221740723,0.0798433646559715,22.6875801086426,0.700699210166931,-0.584591209888458,0.459223002195358,0.618048787117004,0.44539412856102,0.242280632257462,0.743297219276428,1.42851221561432,0.300612956285477,0.160267561674118,-0.647284388542175,"alpine glacial outwash, pre-Fraser","Pleistocene"
"99",99,"H-E-07-2020",0,30,0.103283436256442,"HOH","g",0.764722287654877,3271.7353515625,9.66192054748535,0.467734962701797,62.9420928955078,0.909791469573975,-0.555262506008148,0.630480110645294,0.754584670066833,0.582687318325043,0.0209332816302776,0.34494948387146,2.9005401134491,0.362292945384979,0.487098157405853,-0.77128392457962,"alluvium","Quaternary"
"100",100,"H-E-07-2020",30,100,0.077261254462303,"HOH","g",0.764722287654877,3271.7353515625,9.66192054748535,0.467734962701797,62.9420928955078,0.909791469573975,-0.555262506008148,0.630480110645294,0.754584670066833,0.582687318325043,0.0209332816302776,0.34494948387146,2.9005401134491,0.362292945384979,0.487098157405853,-0.77128392457962,"alluvium","Quaternary"
"101",101,"H-E-29-2020",0,30,0.207356418313559,"HOH","f",0.872122347354889,3372.61840820312,9.59637832641602,0.0385542064905167,72.0247955322266,0.784642040729523,-0.520721912384033,0.392606526613235,0.623065948486328,0.400142788887024,0.0843037441372871,0.496900230646133,2.02726054191589,0.397077679634094,0.336918920278549,-0.663861155509949,"marine sedimentary rocks","Miocene-Eocene"
"102",102,"H-HS-1",0,30,0.40516648074365,"HOH","f",0.752162277698517,3364.443359375,9.58840179443359,0.00628915894776583,67.2499160766602,0.885273814201355,-0.449660986661911,0.566432356834412,0.667618691921234,0.544844150543213,-0.125014573335648,0.304204642772675,3.29089713096619,0.48567607998848,0.53360116481781,-0.737479031085968,"marine sedimentary rocks","Miocene-Eocene"
"103",103,"H-HS-1",30,100,0.116266745608806,"HOH","f",0.752162277698517,3364.443359375,9.58840179443359,0.00628915894776583,67.2499160766602,0.885273814201355,-0.449660986661911,0.566432356834412,0.667618691921234,0.544844150543213,-0.125014573335648,0.304204642772675,3.29089713096619,0.48567607998848,0.53360116481781,-0.737479031085968,"marine sedimentary rocks","Miocene-Eocene"
"104",104,"H-HS-2",0,30,0.07815090307372,"HOH","e",0.531610727310181,3566.83618164062,9.42157936096191,0.0549999997019768,65.3373565673828,0.873245477676392,-0.463204383850098,0.5432248711586,0.641310393810272,0.526344895362854,-0.126031786203384,0.295298397541046,3.4554979801178,0.518454253673553,0.545667231082916,-0.744539797306061,"marine clastic rocks, dominantly thick-bedded lithic sandstone","Miocene-Eocene"
"105",105,"H-HS-2",30,100,0.0463548568606712,"HOH","e",0.531610727310181,3566.83618164062,9.42157936096191,0.0549999997019768,65.3373565673828,0.873245477676392,-0.463204383850098,0.5432248711586,0.641310393810272,0.526344895362854,-0.126031786203384,0.295298397541046,3.4554979801178,0.518454253673553,0.545667231082916,-0.744539797306061,"marine clastic rocks, dominantly thick-bedded lithic sandstone","Miocene-Eocene"
"106",106,"H-W-06-TNC",0,30,0.264968822509745,"HOH","b",0.758296012878418,2684.564453125,10.1214027404785,0.529337346553802,64.602653503418,0.906675100326538,-0.537366151809692,0.677432775497437,0.751788973808289,0.612365067005157,-0.00969969946891069,0.340612143278122,2.93912029266357,0.336538523435593,0.491962850093842,-0.757720947265625,"alluvium","Quaternary"
